
全部,#genre#
东南卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225744/10000100000000060000000001790340_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1mJ65jwH3KDO09dSZi4NBCJS7Y4rQqzF9Qnj6LWWhRGk=:20221027140837,
江西卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225841/10000100000000060000000001410825_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f15pQ5Fq+lhE6a5joVCsraOFD1spHHL14ehiGy5Op6phw=:20221027140837,
重庆卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225756/10000100000000060000000002871049_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1lNBC+EGmmBH4YNMuLrrwSkG1BIf7qH77pOX07AAAgDw=:20221027140837,
贵州卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225759/10000100000000060000000002871048_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1lNBC+EGmmBH4YNMuLrrwSlZL22zGptCYi6MyJJtyOac=:20221027140837,
宁夏卫视,rtsp://122.191.50.135/PLTV/88888888/224/3221225589/10000100000000060000000000007670_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f11KMy89rJ+bid/9IHHaN+FVZL22zGptCYi6MyJJtyOac=:20221027140837,
广西卫视,rtsp://122.191.50.135/PLTV/88888888/224/3221225625/10000100000000060000000000007677_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1k7Sieag57hTa0wh+J0c1F9ycE3QM6COEN9pTB3VsSgM=:20221027140837,
海南卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225874/10000100000000060000000003076572_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1Gvqg+zME5k6HTHVnRg17ApS7Y4rQqzF9Qnj6LWWhRGk=:20221027140837,
河南卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226168/10000100000000060000000003250566_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1J57hAJMI+yHwUzbBwFIk6heL/NFCAd0kF1Oyh21dCOk=:20221027140837,
四川卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226158/10000100000000060000000003250565_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1U1SZE09/46xH61bqwUmOCheL/NFCAd0kF1Oyh21dCOk=:20221027140837,
吉林卫视,rtsp://122.191.50.135/PLTV/88888888/224/3221225649/10000100000000060000000000007676_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1fA9XHnvdc6YYc3nOBU0S9VZL22zGptCYi6MyJJtyOac=:20221027140837,
